subject;age;gender;edu;hand;lens;cap;speed;mem;DDEdl;DDFdl;RPm;TG;S1Mean;S2Mean;S3Mean;S4Mean;S1_logm;S2_logm;S3_logm;S4_logm;SI
312;23;1;Matura;1;yes;1.44;0.26;0.53;12.9;6.15;40;0.368421053;20.84283304;22.35424892;30.82044173;30.44091279;1.31895675;1.349360083;1.488838859;1.483457671;0.164500921
313;21;2;Berufslehre;1;no;-0.56;0.85;-0.85;8.825;8.1;84.8;0.36;25.07169724;33.48268953;35.05262757;53.36652405;1.399183735;1.524820336;1.544720579;1.727268917;0.328085182
314;30;2;Master;1;yes;0.33;-0.25;-0.99;16.6;7.075;22;0.4;13.19546515;14.35125835;17.23516451;21.14770229;1.120424704;1.156889983;1.236415433;1.325263188;0.204838484
315;20;2;Matura;2;no;0.38;-0.4;0.94;17.8;16;52.8;0.393939394;25.78044977;34.64762924;43.7754785;54.90945132;1.41129049;1.539673523;1.641230902;1.739647104;0.328356614
316;20;2;Berufsmatura;1;no;-0.11;0.45;-0.46;22;14.4;94.775;0.3125;27.38618598;30.37889397;38.31446355;54.28154498;1.437531553;1.482571958;1.583362749;1.7346522;0.297120647
318;18;1;Matura;2;yes;1.7;1.15;1.03;5.775;4.35;30;0.565217391;9.878424858;10.79679379;15.42941737;18.68883174;0.994687701;1.033294807;1.188349527;1.271582154;0.276894453
319;20;2;Berufslehre;1;no;-0.71;-0.86;-0.68;14.8;10.325;41.2;0.25;31.8894096;36.81702478;45.93265236;39.66269406;1.503646479;1.56604869;1.662121524;1.59838221;0.094735731
321;20;1;Berufslehre;1;no;0.08;-0.43;-0.31;13.3;7.075;34;0.444444444;18.34141828;14.98160084;10.20604211;20.1511735;1.263432915;1.175558222;1.008857356;1.304300342;0.040867427
322;23;1;Berufslehre;1;no;-0.64;-1.06;-0.37;24;8.625;47.6;0.407407407;7.595321754;6.85054014;14.49673936;22.68619991;0.880546176;0.835724815;1.161270331;1.355761755;0.475215578
323;20;1;Berufsmatura;1;no;-0.18;0.76;0.82;9.975;8.3;46.8;0.117647059;14.12369826;17.87968408;29.66032212;31.48572889;1.149948431;1.252359841;1.472175863;1.498113752;0.348165321
324;24;2;Bachelor;1;no;0.06;0.53;-0.86;10.975;8.65;35.6;0.619047619;18.75686482;21.64422849;26.87015852;37.05076644;1.273160248;1.33534211;1.429270229;1.568797196;0.295636948
328;18;1;Berufslehre;1;no;-1.1;-0.25;-0.12;11.625;5.65;35.6;0.297297297;11.84166016;53.45779131;111.1137364;96.56419949;1.073412593;1.728011011;2.045767752;1.984816145;0.911403551
329;18;1;Berufsmatura;1;no;-0.48;-0.04;-0.87;30.2;8;85.6;0.166666667;23.02517718;23.23892502;29.86245302;27.23569583;1.362202981;1.366216035;1.47512548;1.435138475;0.072935495
330;20;2;Bachelor;1;yes;0.72;0.13;0.11;15.8;7.675;34;0.411764706;30.68914624;39.59572819;44.39608139;60.94915111;1.486984807;1.597648334;1.647344639;1.784967661;0.297982855
331;24;1;Berufslehre;1;yes;-0.57;0.26;0.1;31.6;18.6;60.4;0.236363636;11.49288951;19.90985009;24.60028199;39.5798058;1.060429232;1.29906799;1.390940085;1.597473659;0.537044427
333;23;1;Berufsmatura;1;no;-0.69;0.76;0.51;8.6;3.75;56.4;0.351351351;16.81695532;18.98512135;26.94200133;25.95042743;1.22574737;1.278413377;1.430429853;1.414144516;0.188397145
334;19;2;Bachelor;1;no;-0.25;0.32;-0.17;10.425;5.9;42.8;0.375;18.00359186;23.93919803;27.74645844;32.72775324;1.255359159;1.379109597;1.443207558;1.514916192;0.259557033
336;23;2;Anderes;1;yes;0.49;0.76;0.91;12.6;8.4;54.4;0.304347826;14.17410824;17.04705396;20.2869612;26.73641136;1.151495745;1.231649336;1.307216999;1.427103115;0.27560737
337;27;1;Anderes;1;no;-0.47;-0.16;0.6;18.8;10.05;71.6;0.244444444;26.57189605;29.04979306;50.5456797;53.19119838;1.424422545;1.463143043;1.703684041;1.725839775;0.30141723
338;22;2;Berufslehre;1;no;-0.46;-0.65;-0.39;11.8;9.125;100.8;0.268292683;20.20328091;27.05351034;37.6926439;52.10276211;1.305421902;1.432223625;1.576256602;1.716860747;0.411438845
339;27;2;Berufslehre;1;yes;-1.2;-0.47;0.01;12.2;10.8;66.8;0.333333333;20.77075459;41.94259056;67.28013207;74.13269675;1.317452274;1.622655251;1.827886835;1.870009799;0.552557525
340;20;2;Berufslehre;1;yes;0.35;0.67;1.11;12;13;43.2;0.533333333;21.8990319;23.89320798;33.6825986;46.37063287;1.340424916;1.378274463;1.52740559;1.666243023;0.325818107
342;18;1;Matura;1;no;1.5;0.43;0.42;13.4;7.025;39.6;0.583333333;12.98649601;11.72350397;16.03629124;20.25752882;1.113491987;1.069057435;1.205103935;1.306586465;0.193094479
343;18;2;Berufslehre;1;no;0.01;-0.63;-0.91;17.4;11.1;113.4;0.230769231;15.17050121;16.20454263;26.31125184;29.1810413;1.180999929;1.209636778;1.420141511;1.465100785;0.284100856
